date,RiskMetrics,F_Historical,MonteCarlo,GARCH,FIGARCH,EGARCH,TARCH,GJR_GARCH
2016-07-13,-0.016873352961039367,-0.015461670501642667,-0.016972191528610497,-0.017004082741166333,-0.015926010393578566,-0.01605777723208473,-0.013278195626023115,-0.017001317440653797
2016-07-14,-0.016449438924470632,-0.014909345005865894,-0.016360552925178008,-0.016313658941159336,-0.01504391630633828,-0.01550753064918659,-0.012666642319082155,-0.016353755885995608
2016-07-15,-0.015951370974982886,-0.014260282232258961,-0.01564508088372688,-0.015611724292131188,-0.014167222465501166,-0.014850515807015685,-0.012076940877716092,-0.015739574696658397
2016-07-18,-0.015466683809030577,-0.013475792392150559,-0.014795531269860045,-0.014878313371936411,-0.013285941960701566,-0.013936710050837115,-0.011702795387599073,-0.015161847591529257
2016-07-19,-0.015024248351519887,-0.01285853057535177,-0.014119265097820783,-0.014173485904824739,-0.012467341210424357,-0.012909764902984755,-0.011112515356994458,-0.014597050220232716
2016-07-20,-0.014714701492568313,-0.012271684282722697,-0.013481930237869717,-0.013596137843255073,-0.011882498271513671,-0.012409972267068194,-0.011161499536414673,-0.014161899301576181
2016-07-21,-0.014519087329705964,-0.01204858761790849,-0.013218924814548599,-0.01314864107636394,-0.011532546351047179,-0.012176834043539312,-0.010711205643914127,-0.013673364409656464
2016-07-22,-0.014437478474232084,-0.01166797364579018,-0.012832646242608596,-0.013081303875022833,-0.01171248597973935,-0.012467724792592044,-0.01179081795987993,-0.013897975864120542
2016-07-25,-0.01408328275460346,-0.011977000086183172,-0.01313343391142254,-0.012984197746322038,-0.011865416855821613,-0.012690612523700786,-0.011343327290988392,-0.013458194465644726
2016-07-26,-0.013679544471531557,-0.01132196213624981,-0.01244839677388146,-0.012610983604321365,-0.01169497242425856,-0.012461278843338065,-0.01172568740457826,-0.013252813158409406
2016-07-27,-0.01354750473625138,-0.010940993020153935,-0.012027797984759303,-0.012136178138682983,-0.011354951566479322,-0.01196205443227232,-0.011670689179008549,-0.012886110304281995
2016-07-28,-0.013137790755102121,-0.010879174763155783,-0.011972717843960196,-0.012201476562637821,-0.011611596142582729,-0.012298626511787003,-0.012706319671206166,-0.013228351363018715
2016-07-29,-0.012775644715136859,-0.010601848649343276,-0.01165098917885422,-0.011675011835834713,-0.011106620100597568,-0.011380484216104192,-0.012043250842459703,-0.012771762026026798
2016-08-01,-0.012402443789381086,-0.010231362411759677,-0.011241288187769946,-0.011213651173929667,-0.01070887410110769,-0.010798591538505889,-0.011466872218188448,-0.01234429356048785
2016-08-02,-0.01239915639818895,-0.009767768197502876,-0.01074065066468822,-0.01081534666404066,-0.01031637746441028,-0.010363124499845458,-0.01131864148423799,-0.01199935735789841
2016-08-03,-0.012367128930016074,-0.0099231941264582,-0.010926299764972102,-0.011151121940575087,-0.010817477890552719,-0.010965563472604304,-0.012527529744126008,-0.012595915094362843
